Project.name,Experiment.name,Experiment.date,Colony.name,Colony.species,Colony.country,Colony.latitude,Colony.longitude,BioSample.name,BioSample.collection_date,Observation.condition,Observation.temperature,Observation.timepoint,Observation.pam_value,Publication.title,Publication.year,Publication.doi
Voolstra et al. 2021,PrT,2018-08-15,PrT3,Stylophora pistillata,SAU,22.26302,39.05165,PrT3-30,2018-08-15,Wild,30,420,0.438,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT4,Stylophora pistillata,SAU,22.26302,39.05165,PrT4-30,2018-08-15,Wild,30,420,0.558,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT5,Stylophora pistillata,SAU,22.26302,39.05165,PrT5-30,2018-08-15,Wild,30,420,0.54,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT6,Stylophora pistillata,SAU,22.26302,39.05165,PrT6-30,2018-08-15,Wild,30,420,0.448,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT7,Stylophora pistillata,SAU,22.26302,39.05165,PrT7-30,2018-08-15,Wild,30,420,0.507,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT1,Stylophora pistillata,SAU,22.26302,39.05165,PrT1-33,2018-08-15,Wild,33,420,0.526,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT2,Stylophora pistillata,SAU,22.26302,39.05165,PrT2-33,2018-08-15,Wild,33,420,0.512,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT3,Stylophora pistillata,SAU,22.26302,39.05165,PrT3-33,2018-08-15,Wild,33,420,0.509,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT4,Stylophora pistillata,SAU,22.26302,39.05165,PrT4-33,2018-08-15,Wild,33,420,0.512,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT5,Stylophora pistillata,SAU,22.26302,39.05165,PrT5-33,2018-08-15,Wild,33,420,0.565,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
